,index,time,players,viewers,event,%chg_players,%chg_viewers
63,629,2015-09-28,27005.0,7248.0,0.0,-0.10839276281035393,0.17624148003894846
64,630,2015-09-29,24857.0,8168.0,0.0,-0.07954082577300503,0.12693156732891842
65,631,2015-09-30,24043.0,4692.0,0.0,-0.032747314639739344,-0.4255631733594515
66,632,2015-10-01,24293.0,3557.0,0.0,0.010398036850642667,-0.2419011082693947
67,633,2015-10-02,26908.0,25335.0,0.0,0.10764417733503473,6.122575203823446
68,634,2015-10-03,28150.0,11274.0,0.0,0.0461572766463505,-0.5550029603315572
69,635,2015-10-04,29259.0,6979.0,0.0,0.03939609236234465,-0.3809650523328011
70,636,2015-10-05,27192.0,14280.0,0.0,-0.07064492976520043,1.0461384152457374
71,637,2015-10-06,25617.0,10085.0,0.0,-0.0579214474845543,-0.2937675070028011
72,638,2015-10-07,27029.0,4577.0,0.0,0.05511964710934136,-0.5461576598909271
73,639,2015-10-08,23510.0,11331.0,0.0,-0.1301934958748011,1.4756390648896658
74,640,2015-10-09,25778.0,30866.0,0.0,0.09646958740961287,1.7240314182331655
75,641,2015-10-10,26300.0,7695.0,0.0,0.020249825432539392,-0.7506965593209356
76,642,2015-10-11,26921.0,14435.0,0.0,0.023612167300380182,0.875893437296946
77,643,2015-10-12,26790.0,2737.0,0.0,-0.0048660896697745315,-0.8103914097679252
78,644,2015-10-13,29890.0,7110.0,0.0,0.1157148189622994,1.5977347460723421
79,645,2015-10-14,28192.0,12538.0,0.0,-0.05680829708932755,0.7634317862165962
80,646,2015-10-15,26641.0,10745.0,0.0,-0.05501560726447219,-0.14300526399744773
81,647,2015-10-16,28981.0,28148.0,0.0,0.08783454074546748,1.619637040483946
82,648,2015-10-17,29398.0,59142.0,0.0,0.014388737448673306,1.1011084268864573
83,649,2015-10-18,32121.0,12364.0,0.0,0.09262534866317429,-0.790943830103818
84,650,2015-10-19,28980.0,6724.0,0.0,-0.09778649481647517,-0.45616305402782276
85,651,2015-10-20,26811.0,13408.0,0.0,-0.07484472049689439,0.9940511600237953
86,652,2015-10-21,29986.0,14351.0,0.0,0.11842154339636712,0.07033114558472553
87,653,2015-10-22,29891.0,5716.0,0.0,-0.0031681451343960054,-0.6017002299491325
88,654,2015-10-23,30802.0,4904.0,0.0,0.030477401224448863,-0.14205738278516444
89,655,2015-10-24,31194.0,14553.0,0.0,0.012726446334653696,1.9675774877650896
90,656,2015-10-25,31631.0,33429.0,0.0,0.014009104314932408,1.2970521541950113
91,657,2015-10-26,28851.0,8284.0,0.0,-0.08788846384875593,-0.7521912112237877
92,658,2015-10-27,26797.0,8013.0,0.0,-0.07119337284669514,-0.032713664896185435
93,659,2015-10-28,27878.0,4941.0,0.0,0.04034033660484382,-0.3833770123549233
94,660,2015-10-29,27411.0,9986.0,0.0,-0.016751560370184326,1.0210483707751465
95,661,2015-10-30,27852.0,8677.0,0.0,0.016088431651526847,-0.13108351692369313
96,662,2015-10-31,26730.0,12946.0,0.0,-0.04028436018957349,0.49199031923475856
97,663,2015-11-01,29821.0,4469.0,0.0,0.11563786008230448,-0.6547968484473969
98,664,2015-11-02,27438.0,7869.0,0.0,-0.0799101304449884,0.760796598791676
99,665,2015-11-03,25639.0,7465.0,0.0,-0.0655660033530141,-0.05134070402846613
100,666,2015-11-04,25084.0,7355.0,0.0,-0.02164671009009711,-0.014735432016074967
