,DateTime,players,viewers,event,%chg_players,%chg_viewers,title
102,2015-04-13,721862,0,No,-0.06469359620208559,,DOTA 2
103,2015-04-14,0,0,No,-1.0,,DOTA 2
104,2015-04-15,779682,0,No,inf,,DOTA 2
105,2015-04-16,831742,0,No,0.06677081168989418,,DOTA 2
106,2015-04-17,902325,0,No,0.08486165181029692,,DOTA 2
107,2015-04-18,872549,0,No,-0.03299919652010086,,DOTA 2
108,2015-04-19,872742,0,No,0.00022119101620643455,,DOTA 2
109,2015-04-20,794160,0,No,-0.09004035556899981,,DOTA 2
110,2015-04-21,789852,0,No,-0.0054245995769114375,,DOTA 2
111,2015-04-22,780972,0,No,-0.011242612540070751,,DOTA 2
112,2015-04-23,802508,0,No,0.027575892605624874,,DOTA 2
113,2015-04-24,852601,0,No,0.06242056153957343,,DOTA 2
114,2015-04-25,852890,0,No,0.00033896277391187724,,DOTA 2
115,2015-04-26,807832,0,No,-0.052829790477083804,,DOTA 2
116,2015-04-27,772144,0,No,-0.0441775022529437,,DOTA 2
117,2015-04-28,774202,0,No,0.0026653059532937284,,DOTA 2
118,2015-04-29,836630,0,No,0.08063528639812345,,DOTA 2
119,2015-04-30,898359,0,No,0.07378291478909427,,DOTA 2
120,2015-05-01,950606,0,No,0.05815826412380787,,DOTA 2
121,2015-05-02,950822,0,No,0.00022722347639292373,,DOTA 2
122,2015-05-03,928579,0,No,-0.023393442726398872,,DOTA 2
123,2015-05-04,882081,0,No,-0.05007436093213391,,DOTA 2
124,2015-05-05,857429,0,No,-0.027947546767246978,,DOTA 2
125,2015-05-06,869201,0,No,0.013729416663070593,,DOTA 2
126,2015-05-07,912552,0,No,0.049874539951058505,,DOTA 2
127,2015-05-08,926583,0,No,0.015375562159745337,,DOTA 2
128,2015-05-09,926577,0,No,-6.475404793704342e-06,,DOTA 2
129,2015-05-10,900144,0,No,-0.028527580546462983,,DOTA 2
130,2015-05-11,867261,0,No,-0.03653082173518907,,DOTA 2
131,2015-05-12,834134,0,No,-0.038197267028034276,,DOTA 2
132,2015-05-13,836113,0,No,0.002372520482320617,,DOTA 2
133,2015-05-14,923163,0,No,0.10411272160581175,,DOTA 2
