"DateTime","Players","Players Trend","Twitch Viewers"
"2020-12-29 13:10:00",104537,96099.87595599957,332
"2020-12-29 13:20:00",104992,95971.48477802343,299
"2020-12-29 13:30:00",105334,95844.5131672094,228
"2020-12-29 13:40:00",106004,95720.35079982465,231
"2020-12-29 13:50:00",106332,95597.51240567757,238
"2020-12-29 14:00:00",106807,95478.71020078554,259
"2020-12-29 14:10:00",107171,95358.14418854167,260
"2020-12-29 14:20:00",107780,95236.86215875307,285
"2020-12-29 14:30:00",108087,95115.59393443246,293
"2020-12-29 14:40:00",107841,94993.24213035067,292
"2020-12-29 14:50:00",108304,94873.45794523333,289
"2020-12-29 15:00:00",108474,94750.20637652939,325
"2020-12-29 15:10:00",108183,94626.48490685281,358
"2020-12-29 15:20:00",108066,94504.47194359955,396
"2020-12-29 15:30:00",107090,94383.55186759336,423
"2020-12-29 15:40:00",105376,94270.44636174616,425
"2020-12-29 15:50:00",104807,94167.78246204327,416
"2020-12-29 16:00:00",104274,94069.2869094813,331
"2020-12-29 16:10:00",103526,93972.20025600628,341
"2020-12-29 16:20:00",102138,93880.7700856228,341
"2020-12-29 16:30:00",102238,93799.4212121395,329
"2020-12-29 16:40:00",102339,93717.07836860724,344
"2020-12-29 16:50:00",102560,93635.49635761476,337
"2020-12-29 17:00:00",102628,93543.9676994352,403
"2020-12-29 17:10:00",102647,93449.50422742774,485
"2020-12-29 17:20:00",102974,93355.3759136521,456
"2020-12-29 17:30:00",104058,93266.64522591248,475
"2020-12-29 17:40:00",105500,93176.41286879618,13223
"2020-12-29 17:50:00",106721,93086.35999414929,14983
"2020-12-29 18:00:00",107306,92995.58758797085,17270
"2020-12-29 18:10:00",108403,92906.76548366284,17295
"2020-12-29 18:20:00",109291,92818.08842186483,17316
"2020-12-29 18:30:00",109492,92728.50464247691,17323
"2020-12-29 18:40:00",109799,92641.14877863925,17323
"2020-12-29 18:50:00",109996,92556.08113384643,17276
"2020-12-29 19:00:00",110001,92472.26024714758,17306
"2020-12-29 19:10:00",,92283.54036894364,17337
"2020-12-29 19:20:00",109884,92861.7370251073,17171
"2020-12-29 19:30:00",109014,92783.63351262978,17174
"2020-12-29 19:40:00",109473,92711.00054362067,16556
"2020-12-29 19:50:00",108965,92635.82871450068,485
"2020-12-29 20:00:00",108899,92564.2229792974,500
"2020-12-29 20:10:00",109054,92481.5151759167,504
"2020-12-29 20:20:00",108490,92395.07387677563,1034
"2020-12-29 20:30:00",107904,92310.3916418896,1256
"2020-12-29 20:40:00",107897,92221.64247467235,1156
"2020-12-29 20:50:00",107837,92139.80038679656,1019
"2020-12-29 21:00:00",107665,92057.3069458209,1077
"2020-12-29 21:10:00",106128,91978.02282237634,1178
"2020-12-29 21:20:00",106484,91904.11266655652,1065
"2020-12-29 21:30:00",105935,91826.10672695734,660
"2020-12-29 21:40:00",106075,91749.99549884371,601
"2020-12-29 21:50:00",106357,91673.41643954406,608
"2020-12-29 22:00:00",106439,91599.82770344675,625
"2020-12-29 22:10:00",106028,91528.93853925778,619
"2020-12-29 22:20:00",106054,91464.29766820834,608
"2020-12-29 22:30:00",105826,91399.69918648827,635
"2020-12-29 22:40:00",105166,91326.0800985574,452
"2020-12-29 22:50:00",105061,91241.75862377492,432
"2020-12-29 23:00:00",104382,91156.10261810372,484
"2020-12-29 23:10:00",103775,91074.04124683404,531
"2020-12-29 23:20:00",103545,90992.417905517,564
"2020-12-29 23:30:00",103123,90909.77699317255,589
"2020-12-29 23:40:00",102631,90827.93623361964,586
"2020-12-29 23:50:00",100852,90748.70973048122,590
"2020-12-30 00:00:00",100552,90673.55444059025,607
"2020-12-30 00:10:00",99310,90598.75423273869,559
"2020-12-30 00:20:00",99048,90530.98553986344,504
"2020-12-30 00:30:00",98685,90466.34232876336,512
"2020-12-30 00:40:00",98584,90403.29013186874,546
"2020-12-30 00:50:00",98534,90340.14762278384,498
"2020-12-30 01:00:00",98142,90278.41942654995,502
"2020-12-30 01:10:00",97831,90219.83855026982,539
"2020-12-30 01:20:00",94131,90159.49666198659,554
"2020-12-30 01:30:00",95072,90125.11197142387,632
"2020-12-30 01:40:00",95160,90087.28207245903,638
"2020-12-30 01:50:00",95116,90050.49685469666,483
"2020-12-30 02:00:00",95082,90014.69894560074,503
"2020-12-30 02:10:00",95092,89980.2495251074,658
"2020-12-30 02:20:00",95242,89947.59962421544,764
"2020-12-30 02:30:00",95171,89916.62977645636,779
"2020-12-30 02:40:00",95079,89886.3541735492,829
"2020-12-30 02:50:00",95005,89857.37556436518,838
"2020-12-30 03:00:00",94834,89825.65892385201,823
"2020-12-30 03:10:00",94252,89796.0228154939,883
"2020-12-30 03:20:00",93944,89766.81695986126,930
"2020-12-30 03:30:00",93195,89737.82120636496,950
"2020-12-30 03:40:00",91397,89703.01375812135,988
"2020-12-30 03:50:00",89100,89670.96947610394,887
"2020-12-30 04:00:00",88156,89651.38206832948,905
"2020-12-30 04:10:00",85816,89631.52794295781,909
"2020-12-30 04:20:00",85217,89620.80276814225,914
"2020-12-30 04:30:00",84520,89610.07944471974,899
"2020-12-30 04:40:00",84083,89598.66739621187,895
"2020-12-30 04:50:00",83640,89586.14263296992,903
"2020-12-30 05:00:00",83185,89573.07813016186,888
"2020-12-30 05:10:00",82226,89559.22984115183,871
"2020-12-30 05:20:00",81894,89545.89890292917,797
"2020-12-30 05:30:00",81891,89531.28194857393,777
"2020-12-30 05:40:00",82708,89515.68318467127,763
"2020-12-30 05:50:00",83368,89496.90973598721,780
"2020-12-30 06:00:00",83546,89476.28172833387,776
"2020-12-30 06:10:00",82942,89450.52821137538,705
"2020-12-30 06:20:00",83375,89426.4814929523,575
"2020-12-30 06:30:00",83524,89412.00786669969,581
"2020-12-30 06:40:00",84393,89399.6418690122,582
"2020-12-30 06:50:00",84872,89384.1261218478,560
"2020-12-30 07:00:00",84608,89365.85294158131,538
"2020-12-30 07:10:00",84255,89350.02748871266,515
"2020-12-30 07:20:00",83960,89332.3279512168,416
"2020-12-30 07:30:00",84165,89315.78712421536,169
"2020-12-30 07:40:00",83836,89296.64751954627,192
"2020-12-30 07:50:00",83610,89276.88032017395,179
